name,id,sis_id,section,section_id,section_sis_id,submitted,attempt,"514480:  How frequently do you use LLMs (e.g., ChatGPT) for your coursework in the computer networks module?",1,514486: For which specific tasks in this module do you typically rely on LLMs? (Select all that apply),1,"514494: If there are other tasks in this module where you have relied on LLMs that were not listed above, please specify them here.",1,"514498: How often do you use ChatGPT or other LLMs specifically for completing assignments in this module?
Please answer based on your experience with each of the four assignments in this module.",1,"514499: On average, how frequently do you use ChatGPT or other LLMs during lab sessions?
Please consider your usage across all nine lab sessions.",1,"514504: How effective do you find LLMs (e.g., ChatGPT) in enhancing your understanding of computer network concepts?",1,"514505: Do you find that your reliance on LLMs changes based on the complexity of the topic (e.g., basic networking versus advanced protocols)?",1,514506: Others (Please specify)-,1,"514507: When using ChatGPT or other LLMs, are the answers provided generally sufficient, or do you often need to look up additional resources?",1,"514511: For which assignments (and specific parts, if applicable) did you find yourself using ChatGPT/LLMs the most?",1,"514512: How does using LLMs impact your problem-solving skills and conceptual understanding in assignments and labs?
 Especially, when you see an assignment for the first time, do you feel that you can solve it independently, or do you typically rely on LLMs for an initial approach before attempting to solve it yourself?",1,514513: Others (please specify) -,1,514514: How often do you use LLMs to generate initial ideas or approaches for assignments and labs?,1,"514515: When using LLMs for initial ideas, how much do you rely on the suggestions provided?",1,514516: Others (please specify) -,1,514517: Do you feel your conceptual understanding of the topics has improved by using LLMs?,1,"514518: Do you feel that using LLMs for assignments or labs has hindered your ability to independently solve networking problems in exams or answer theoretical questions, and if it has increased your dependency on the use of LLMs to get lab/assignment work done?",1,"514519: What are the common challenges you have faced when using LLMs for understanding computer network-related concepts, especially in the context of labs where we are using CISCO routers and switches?",1,514520: To what extent do you think using ChatGPT or other LLMs improves the quality of your work in assignments and labs?,1,514521: Do you feel that using LLMs (like ChatGPT) helps you complete assignments or labs faster?,1,514522: In what ways do you think the use of LLMs has affected your ability to retain knowledge in this module?,1,"514523:  Is there anything else you would like to share about your experience using LLMs (e.g., ChatGPT) in this module?

Feel free to provide any feedback, suggestions, or reflections on how LLMs have impacted your learning and performance in this module.
",1,n correct,n incorrect,score
,15657,,"B9 (CS3xxx), L1 (CS3xxx)","124022, 124023","S_2410_CS3xxx_B9, S_2410_CS3xxx_L1",2024-11-23 15:59:00 UTC,1,Occasionally,0,"Coding,Troubleshooting and debugging code,Understanding theoretical concepts,Starting or completing assignments",0,,0,Occasionally,0,Rarely,0,Moderately effective,0,"Yes, I rely more on LLMs for complex topics",1,,0,I often look up additional resources,0,,0,I often need LLMs for an initial approach before I can attempt to solve it myself.,0,,0,Occasionally,0,I use the idea as a starting point but build upon it independently,0,,0,Agree,0,Neutral,0,,0,Slightly improves quality,0,Somewhat faster,0,It has had no impact on my retention,0,,0,5,17,20
,189640,,"B1 (CS3xxx), L1 (CS3xxx)","123999, 124023","S_2410_CS3xxx_B1, S_2410_CS3xxx_L1",2024-11-23 15:59:00 UTC,1,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,4,18,20
,28694,,"L1 (CS3xxx), B1 (CS3xxx)","124023, 123999","S_2410_CS3xxx_L1, S_2410_CS3xxx_B1",2024-11-23 15:59:00 UTC,1,Never,1,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,5,17,20
,1695,,"B7 (CS3xxx), L1 (CS3xxx)","124017, 124023","S_2410_CS3xxx_B7, S_2410_CS3xxx_L1",2024-11-23 02:12:47 UTC,1,Rarely,0,"Coding,Troubleshooting and debugging code,Understanding theoretical concepts",0,NIL,0,Rarely,0,Never,1,Moderately effective,0,"Yes, I rely more on LLMs for complex topics",1,,0,It varies by topic,0,refresher on code syntax and debugging,0,I often need LLMs for an initial approach before I can attempt to solve it myself.,0,,0,Occasionally,0,I use the LLM's response as a comparison to my own ideas.,0,,0,Agree,0,Disagree,0,NIL,0,Moderately improves quality,0,"Slower, as I need to verify the information",0,It has somewhat improved my retention,0,NIL,0,6,16,20
,84893,,"L1 (CS3xxx), B7 (CS3xxx)","124023, 124017","S_2410_CS3xxx_L1, S_2410_CS3xxx_B7",2024-11-22 15:13:15 UTC,1,Rarely,0,Starting or completing assignments,0,,0,Rarely,0,Never,1,Neutral,0,"No, reliance is about the same",0,,0,I often look up additional resources,0,Assignment 2.4 (recommended section),0,I can solve the assignment independently without assistance.,1,,0,Never,1,I use the LLM's response as a comparison to my own ideas.,0,,0,Agree,0,Disagree,0,,0,I do not use LLMs,0,I do not use LLMs,0,It has had no impact on my retention,0,,0,7,15,20
,83256,,"B4 (CS3xxx), L1 (CS3xxx)","124011, 124023","S_2410_CS3xxx_B4, S_2410_CS3xxx_L1",2024-11-22 13:54:42 UTC,1,Frequently,0,"Coding,Understanding theoretical concepts",0,,0,Frequently,0,Rarely,0,Effective,0,"Yes, I rely more on LLMs for complex topics",1,,0,ChatGPT/LLM answers are usually sufficient,1,Not assignments but understanding the cryptography concepts more deeply,0,I can solve the assignment independently without assistance.,1,,0,Occasionally,0,I use the idea as a starting point but build upon it independently,0,,0,Agree,0,Disagree,0,,0,Moderately improves quality,0,Somewhat faster,0,It has had no impact on my retention,0,,0,7,15,20
,19911,,"L1 (CS3xxx), B9 (CS3xxx)","124023, 124022","S_2410_CS3xxx_L1, S_2410_CS3xxx_B9",2024-11-22 12:07:35 UTC,1,Occasionally,0,"Troubleshooting and debugging code,Understanding theoretical concepts,Reviewing explanations or answers during or after labs",0,none,0,Occasionally,0,Rarely,0,Moderately effective,0,"No, reliance is about the same",0,none,0,It varies by topic,0,the one with the traceroute,0,I can solve the assignment independently without assistance.,1,none,0,Occasionally,0,I use the idea as a starting point but build upon it independently,0,none,0,Agree,0,Disagree,0,llms are sometimes wrong and give wrong info as different routers may have different quirks,0,Slightly improves quality,0,Somewhat faster,0,It has somewhat improved my retention,0,llm is good for checking my understanding in concepts,0,5,17,20
,82484,,"B6 (CS3xxx), L1 (CS3xxx)","124015, 124023","S_2410_CS3xxx_B6, S_2410_CS3xxx_L1",2024-11-22 10:14:04 UTC,1,Occasionally,0,"Troubleshooting and debugging code,Understanding theoretical concepts,Others (please specify in the next question)",0,Explaining lecture content.,0,Occasionally,0,Rarely,0,Effective,0,"Yes, I rely more for basic topics",0,NA,0,I often look up additional resources,0,"Assignment 3, there were certain things I could not figure out about the raw socket configuration.",0,Other (please specify in the next question),0,I think I only use LLMs when I am really lost or I'm not sure where I went wrong.,0,Never,1,I use the idea as a starting point but build upon it independently,0,NA,0,Agree,0,Disagree,0,I think feeding the LLM sufficient context would be a challenge.,0,Moderately improves quality,0,Somewhat faster,0,It has somewhat improved my retention,0,NA,0,5,17,20
,80761,,"L1 (CS3xxx), B3 (CS3xxx)","124023, 124009","S_2410_CS3xxx_L1, S_2410_CS3xxx_B3",2024-11-21 18:04:28 UTC,1,Occasionally,0,Troubleshooting and debugging code,0,,0,Occasionally,0,Rarely,0,Moderately effective,0,"No, reliance is about the same",0,,0,I often look up additional resources,0,"That would be the 3rd assignment I think.

I remember error kept coming up and I was really lost throughout the assignment until I understood what the sample code actually did.",0,I can solve the assignment independently without assistance.,1,,0,Occasionally,0,I use the idea as a starting point but build upon it independently,0,,0,Agree,0,Disagree,0,I did not really use LLM for labs. I usually just asked around.,0,Slightly improves quality,0,Significantly faster,1,It has somewhat improved my retention,0,,0,6,16,20
,24734,,"B2 (CS3xxx), L1 (CS3xxx)","124007, 124023","S_2410_CS3xxx_B2, S_2410_CS3xxx_L1",2024-11-21 17:09:11 UTC,1,Occasionally,0,"Troubleshooting and debugging code,Starting or completing assignments",0,nil,0,Occasionally,0,Rarely,0,Moderately effective,0,"Yes, I rely more on LLMs for complex topics",1,nil,0,ChatGPT/LLM answers are usually sufficient,1,Assignment 4,0,I often need LLMs for an initial approach before I can attempt to solve it myself.,0,nil,0,Occasionally,0,I use the idea as a starting point but build upon it independently,0,nil,0,Agree,0,Neutral,0,some information is wrong,0,Moderately improves quality,0,Significantly faster,1,It has somewhat improved my retention,0,nil,0,7,15,20
